SeasonID,TeamID,TeamName,OppPointsPG,HOME,PlayoffRank
1984,1610612738,Celtics,108.1,35-6,1
1984,1610612747,Lakers,110.9,36-5,1
1984,1610612743,Nuggets,117.6,34-7,2
1984,1610612749,Bucks,104.0,36-5,2
1984,1610612745,Rockets,109.5,29-12,3
1984,1610612755,76ers,108.8,34-7,3
1984,1610612742,Mavericks,109.0,24-17,4
1984,1610612765,Pistons,113.5,26-15,4
1984,1610612751,Nets,109.2,27-14,5
1984,1610612757,Trail Blazers,112.1,30-11,5
1984,1610612759,Spurs,113.9,30-11,6
1984,1610612762,Jazz,109.1,26-15,6
1984,1610612764,Bullets,105.8,28-13,6
1984,1610612741,Bulls,109.6,26-15,7
1984,1610612739,Cavaliers,111.3,20-21,8
1984,1610612756,Suns,110.1,26-15,8
1984,1610612737,Hawks,108.1,19-22,9
1984,1610612746,Clippers,111.6,20-21,9
1984,1610612758,Kings,117.5,23-18,9
1984,1610612760,SuperSonics,107.6,20-21,9
1984,1610612752,Knicks,109.8,19-22,10
1984,1610612754,Pacers,114.5,16-25,11
1984,1610612744,Warriors,117.7,17-24,12
1985,1610612738,Celtics,104.7,40-1,1
1985,1610612747,Lakers,109.5,35-6,1
1985,1610612745,Rockets,111.8,36-5,2
1985,1610612749,Bucks,105.5,33-8,2
1985,1610612743,Nuggets,113.5,34-7,3
1985,1610612755,76ers,108.0,31-10,3
1985,1610612737,Hawks,106.2,34-7,4
1985,1610612742,Mavericks,114.2,26-15,4
1985,1610612762,Jazz,108.5,27-14,5
1985,1610612765,Pistons,113.0,31-10,5
1985,1610612751,Nets,111.1,26-15,6
1985,1610612757,Trail Blazers,114.0,27-14,6
1985,1610612764,Bullets,104.8,26-15,6
1985,1610612758,Kings,111.9,25-16,7
1985,1610612741,Bulls,113.1,22-19,8
1985,1610612759,Spurs,113.1,21-20,8
1985,1610612739,Cavaliers,110.6,16-25,9
1985,1610612746,Clippers,115.5,22-19,9
1985,1610612756,Suns,113.0,23-18,9
1985,1610612754,Pacers,107.2,19-22,10
1985,1610612752,Knicks,104.3,15-26,11
1985,1610612760,SuperSonics,104.5,24-17,11
1985,1610612744,Warriors,116.9,24-17,12
1986,1610612738,Celtics,106.0,39-2,1
1986,1610612747,Lakers,108.5,37-4,1
1986,1610612737,Hawks,102.8,35-6,2
1986,1610612742,Mavericks,110.4,35-6,2
1986,1610612757,Trail Blazers,114.8,34-7,3
1986,1610612765,Pistons,107.8,32-9,3
1986,1610612749,Bucks,106.5,32-9,4
1986,1610612762,Jazz,107.5,31-10,4
1986,1610612744,Warriors,114.4,25-16,5
1986,1610612745,Rockets,105.9,25-16,5
1986,1610612755,76ers,106.6,28-13,5
1986,1610612764,Bullets,107.3,27-14,6
1986,1610612754,Pacers,106.7,28-13,7
1986,1610612760,SuperSonics,113.3,25-16,7
1986,1610612741,Bulls,103.9,29-12,8
1986,1610612743,Nuggets,117.6,27-14,8
1986,1610612739,Cavaliers,108.2,25-16,9
1986,1610612756,Suns,113.5,26-15,9
1986,1610612751,Nets,113.5,19-22,10
1986,1610612752,Knicks,110.0,18-23,10
1986,1610612758,Kings,114.1,20-21,10
1986,1610612759,Spurs,113.4,21-20,11
1986,1610612746,Clippers,115.9,9-32,12
1987,1610612747,Lakers,107.0,36-5,1
1987,1610612738,Celtics,107.7,36-5,1
1987,1610612743,Nuggets,112.7,35-6,2
1987,1610612765,Pistons,104.1,34-7,2
1987,1610612742,Mavericks,104.9,33-8,3
1987,1610612757,Trail Blazers,111.5,33-8,3
1987,1610612741,Bulls,101.6,30-11,3
1987,1610612737,Hawks,104.3,30-11,3
1987,1610612739,Cavaliers,103.7,31-10,5
1987,1610612762,Jazz,104.8,33-8,5
1987,1610612749,Bucks,105.5,30-11,5
1987,1610612745,Rockets,107.6,31-10,6
1987,1610612760,SuperSonics,109.3,32-9,7
1987,1610612764,Bullets,106.3,25-16,7
1987,1610612754,Pacers,105.4,25-16,7
1987,1610612752,Knicks,106.0,29-12,7
1987,1610612759,Spurs,118.5,23-18,8
1987,1610612756,Suns,113.0,22-19,9
1987,1610612758,Kings,113.7,19-22,10
1987,1610612755,76ers,107.1,27-14,10
1987,1610612751,Nets,108.5,16-25,11
1987,1610612744,Warriors,115.3,16-25,11
1987,1610612746,Clippers,109.1,14-27,12
